Grafica,Precio,Enlace,Status
Tarjeta De Video Rx560,"6,000",https://articulo.mercadolibre.com.mx/MLM-1363593293-tarjeta-de-video-rx560-_JM#position=32&search_layout=stack&type=item&tracking_id=70bade10-055c-4498-acc8-eb6236996117,nuevo
"Tarjeta Quadro Pny 4000, 2gb.","4,000",https://articulo.mercadolibre.com.mx/MLM-1344151752-tarjeta-quadro-pny-4000-2gb-_JM#position=1&search_layout=stack&type=item&tracking_id=b3a88f47-4402-41c0-a532-976b70ecce98,nuevo
Matrox M9140-e512laf De Perfil Bajo,"4,400",https://articulo.mercadolibre.com.mx/MLM-810831241-matrox-m9140-e512laf-de-perfil-bajo-_JM#position=8&search_layout=stack&type=item&tracking_id=b3a88f47-4402-41c0-a532-976b70ecce98,nuevo
"Amd Radeon Rx 550, 4g, Gddr5.","3,500",https://articulo.mercadolibre.com.mx/MLM-1363605179-amd-radeon-rx-550-4g-gddr5-_JM#position=23&search_layout=stack&type=item&tracking_id=b41f7301-6d00-4689-b473-796af98a8856,nuevo
Tarjeta De Video Nvidia Quadro 2gb,"3,500",https://articulo.mercadolibre.com.mx/MLM-1363628615-tarjeta-de-video-nvidia-quadro-2gb-_JM#position=24&search_layout=stack&type=item&tracking_id=b41f7301-6d00-4689-b473-796af98a8856,nuevo
Amd Radeon Rx 560 4gb,"3,600",https://articulo.mercadolibre.com.mx/MLM-1363599088-amd-radeon-rx-560-4gb-_JM#position=26&search_layout=stack&type=item&tracking_id=b41f7301-6d00-4689-b473-796af98a8856,nuevo
Asus Gtx 960 Strix 2gb Gddr5,"3,700",https://articulo.mercadolibre.com.mx/MLM-1363593618-asus-gtx-960-strix-2gb-gddr5-_JM#position=27&search_layout=stack&type=item&tracking_id=b41f7301-6d00-4689-b473-796af98a8856,nuevo
Gtx 1050ti Tarjeta,"4,500",https://articulo.mercadolibre.com.mx/MLM-1363587063-gtx-1050ti-tarjeta-_JM#position=3&search_layout=stack&type=item&tracking_id=70bade10-055c-4498-acc8-eb6236996117,nuevo
Tarjeta De Video Gigabyte Windforce Gtx 1050 Ti 4gb Ddr5 ,"5,499",https://articulo.mercadolibre.com.mx/MLM-1363628291-tarjeta-de-video-gigabyte-windforce-gtx-1050-ti-4gb-ddr5-_JM#position=14&search_layout=stack&type=item&tracking_id=70bade10-055c-4498-acc8-eb6236996117,nuevo
Tarjeta De Video Pny Gtx 1060 3gb,"5,999",https://articulo.mercadolibre.com.mx/MLM-1362501539-tarjeta-de-video-pny-gtx-1060-3gb-_JM#position=24&search_layout=stack&type=item&tracking_id=70bade10-055c-4498-acc8-eb6236996117,nuevo
